cruise_name,code,ship,link_to_cruise,departure_date,duration,price,PolarInside,PolarOutside,ArcticSuperior,ExpeditionSuite
Cultural highlights along Coastal Europe,CENMSEUR1802,MS Midnatsol,https://www.hurtigruten.com/destinations/europe/cultural-highlights-along-coastal-europe/,2018-09-09,9 Days,2137 €,2137 €,2201 €,2511 €,3153 €
The Gems of the Brazilian Coast,CENMSSOU1801,MS Midnatsol,https://www.hurtigruten.com/destinations/south-america/the-gems-of-the-brazillian-coast/,2018-10-08,15 Days,2987 €,2987 €,3076 €,3509 €,4407 €
Exploring the Land of the Inca,CENFRWOR1706,MS Fram,https://www.hurtigruten.com/destinations/south-america/exploring-the-land-of-the-inca/,2018-03-10,17 Days,4113 €,4113 €,4955 €,5551 €,6946 €
Mysteries and lost cultures of the Andean coast,CENFRSOU1801B,MS Fram,https://www.hurtigruten.com/destinations/south-america/mysteries-and-lost-cultures-of-the-andean-coast/,2018-11-10,10 Days,4019 €,4019 €,4369 €,4576 €,5149 €
Expedition to the Amazon Rainforest - Southbound,CENFRWOR1704,MS Fram,https://www.hurtigruten.com/destinations/south-america/expedition-to-the-amazon-rainforest-southbound/,2017-10-14,17 Days,3775 €,3775 €,4086 €,4980 €,6191 €
Inca Highlights Expedition,CENAMSOU1901A,MS Roald Amundsen,https://www.hurtigruten.com/destinations/south-america/inca-highlights-expedition/,2019-03-26,11 Days,4062 €,,4062 €,4494 €,4840 €
Spitsbergen and Polar Bears - An Arctic Adventure (A),CENNXSPI1802,Nordstjernen,https://www.hurtigruten.com/destinations/svalbard/spitsbergen-and-polar-bears-an-arctic-adventure-a/,2018-05-28,6 Days,1381 €,1381 €,2073 €,,
Spitsbergen and Polar Bears - An Arctic Adventure (A),CENNXSPI1802,Nordstjernen,https://www.hurtigruten.com/destinations/svalbard/spitsbergen-and-polar-bears-an-arctic-adventure-a/,2018-06-11,6 Days,1543 €,1543 €,2359 €,,
Spitsbergen and Polar Bears - An Arctic Adventure (A),CENNXSPI1802,Nordstjernen,https://www.hurtigruten.com/destinations/svalbard/spitsbergen-and-polar-bears-an-arctic-adventure-a/,2018-06-25,6 Days,1543 €,1543 €,2359 €,,
Spitsbergen and Polar Bears - An Arctic Adventure (A),CENNXSPI1802,Nordstjernen,https://www.hurtigruten.com/destinations/svalbard/spitsbergen-and-polar-bears-an-arctic-adventure-a/,2018-06-04,6 Days,1381 €,1381 €,2073 €,,
